,MMWR,Week_end_date,Flu_A_not_subtyped,Flu_A_H1N1,Flu_A_H3,Flu_B,Not_subtyped,Totals
0,1,8-Jan*,0,0,0,0,0,0
1,2,15-Jan,0,0,0,0,0,0
2,3,22-Jan,0,0,0,0,0,0
3,4,29-Jan,1,0,0,0,0,1
4,5,5-Feb,0,0,0,0,0,0
5,6,12-Feb,0,0,0,0,0,0
6,7,19-Feb,1,0,0,0,0,1
7,8,26-Feb,0,0,0,0,0,0
8,9,5-Mar,0,0,0,0,0,0
9,10,12-Mar,0,0,0,0,0,0
10,11,19-Mar,0,0,0,0,0,0
11,12,26-Mar,0,0,0,0,0,0
12,13,2-Apr,0,0,0,0,0,0
13,14,9-Apr,1,0,0,0,0,1
14,15,16-Apr,1,0,0,0,0,1
15,16,23-Apr,0,0,0,0,0,0
16,17,30-Apr,0,0,0,0,0,0
17,18,7-May,0,0,0,0,0,0
18,19,14-May,0,0,0,0,0,0
19,20,21-May,0,0,0,0,0,0
