"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Year"	"Year Code"	Projected Populations
	"< 1 year"	"0"	"Alabama"	"01"	"2004"	"2004"	59974
	"< 1 year"	"0"	"Alabama"	"01"	"2005"	"2005"	59794
	"< 1 year"	"0"	"Alabama"	"01"	"2006"	"2006"	59647
	"< 1 year"	"0"	"Alabama"	"01"	"2007"	"2007"	59527
	"< 1 year"	"0"	"Alabama"	"01"	"2008"	"2008"	59456
	"< 1 year"	"0"	"Alabama"	"01"	"2009"	"2009"	59421
	"< 1 year"	"0"	"Alabama"	"01"	"2010"	"2010"	59400
	"< 1 year"	"0"	"Alaska"	"02"	"2004"	"2004"	10352
	"< 1 year"	"0"	"Alaska"	"02"	"2005"	"2005"	10675
	"< 1 year"	"0"	"Alaska"	"02"	"2006"	"2006"	11001
	"< 1 year"	"0"	"Alaska"	"02"	"2007"	"2007"	11335
	"< 1 year"	"0"	"Alaska"	"02"	"2008"	"2008"	11642
	"< 1 year"	"0"	"Alaska"	"02"	"2009"	"2009"	11949
	"< 1 year"	"0"	"Alaska"	"02"	"2010"	"2010"	12229
	"< 1 year"	"0"	"Arizona"	"04"	"2004"	"2004"	92326
	"< 1 year"	"0"	"Arizona"	"04"	"2005"	"2005"	94685
	"< 1 year"	"0"	"Arizona"	"04"	"2006"	"2006"	97015
	"< 1 year"	"0"	"Arizona"	"04"	"2007"	"2007"	99329
	"< 1 year"	"0"	"Arizona"	"04"	"2008"	"2008"	101675
	"< 1 year"	"0"	"Arizona"	"04"	"2009"	"2009"	104026
	"< 1 year"	"0"	"Arizona"	"04"	"2010"	"2010"	106343
	"< 1 year"	"0"	"Arkansas"	"05"	"2004"	"2004"	38516
	"< 1 year"	"0"	"Arkansas"	"05"	"2005"	"2005"	38510
	"< 1 year"	"0"	"Arkansas"	"05"	"2006"	"2006"	38503
	"< 1 year"	"0"	"Arkansas"	"05"	"2007"	"2007"	38500
	"< 1 year"	"0"	"Arkansas"	"05"	"2008"	"2008"	38512
	"< 1 year"	"0"	"Arkansas"	"05"	"2009"	"2009"	38549
	"< 1 year"	"0"	"Arkansas"	"05"	"2010"	"2010"	38572
	"< 1 year"	"0"	"California"	"06"	"2004"	"2004"	540715
	"< 1 year"	"0"	"California"	"06"	"2005"	"2005"	549518
	"< 1 year"	"0"	"California"	"06"	"2006"	"2006"	558410
	"< 1 year"	"0"	"California"	"06"	"2007"	"2007"	567243
	"< 1 year"	"0"	"California"	"06"	"2008"	"2008"	576374
	"< 1 year"	"0"	"California"	"06"	"2009"	"2009"	585605
	"< 1 year"	"0"	"California"	"06"	"2010"	"2010"	594617
	"< 1 year"	"0"	"Colorado"	"08"	"2004"	"2004"	67911
	"< 1 year"	"0"	"Colorado"	"08"	"2005"	"2005"	68538
	"< 1 year"	"0"	"Colorado"	"08"	"2006"	"2006"	69145
	"< 1 year"	"0"	"Colorado"	"08"	"2007"	"2007"	69751
	"< 1 year"	"0"	"Colorado"	"08"	"2008"	"2008"	70421
	"< 1 year"	"0"	"Colorado"	"08"	"2009"	"2009"	71129
	"< 1 year"	"0"	"Colorado"	"08"	"2010"	"2010"	71848
	"< 1 year"	"0"	"Connecticut"	"09"	"2004"	"2004"	41994
	"< 1 year"	"0"	"Connecticut"	"09"	"2005"	"2005"	42007
	"< 1 year"	"0"	"Connecticut"	"09"	"2006"	"2006"	42154
	"< 1 year"	"0"	"Connecticut"	"09"	"2007"	"2007"	42398
	"< 1 year"	"0"	"Connecticut"	"09"	"2008"	"2008"	42783
	"< 1 year"	"0"	"Connecticut"	"09"	"2009"	"2009"	43242
	"< 1 year"	"0"	"Connecticut"	"09"	"2010"	"2010"	43748
	"< 1 year"	"0"	"Delaware"	"10"	"2004"	"2004"	10992
	"< 1 year"	"0"	"Delaware"	"10"	"2005"	"2005"	11107
	"< 1 year"	"0"	"Delaware"	"10"	"2006"	"2006"	11234
	"< 1 year"	"0"	"Delaware"	"10"	"2007"	"2007"	11372
	"< 1 year"	"0"	"Delaware"	"10"	"2008"	"2008"	11516
	"< 1 year"	"0"	"Delaware"	"10"	"2009"	"2009"	11651
	"< 1 year"	"0"	"Delaware"	"10"	"2010"	"2010"	11771
	"< 1 year"	"0"	"District of Columbia"	"11"	"2004"	"2004"	9442
	"< 1 year"	"0"	"District of Columbia"	"11"	"2005"	"2005"	9366
	"< 1 year"	"0"	"District of Columbia"	"11"	"2006"	"2006"	9335
	"< 1 year"	"0"	"District of Columbia"	"11"	"2007"	"2007"	9310
	"< 1 year"	"0"	"District of Columbia"	"11"	"2008"	"2008"	9270
	"< 1 year"	"0"	"District of Columbia"	"11"	"2009"	"2009"	9267
	"< 1 year"	"0"	"District of Columbia"	"11"	"2010"	"2010"	9237
	"< 1 year"	"0"	"Florida"	"12"	"2004"	"2004"	218205
	"< 1 year"	"0"	"Florida"	"12"	"2005"	"2005"	221958
	"< 1 year"	"0"	"Florida"	"12"	"2006"	"2006"	225786
	"< 1 year"	"0"	"Florida"	"12"	"2007"	"2007"	229676
	"< 1 year"	"0"	"Florida"	"12"	"2008"	"2008"	233719
	"< 1 year"	"0"	"Florida"	"12"	"2009"	"2009"	237762
	"< 1 year"	"0"	"Florida"	"12"	"2010"	"2010"	241626
	"< 1 year"	"0"	"Georgia"	"13"	"2004"	"2004"	137221
	"< 1 year"	"0"	"Georgia"	"13"	"2005"	"2005"	138959
	"< 1 year"	"0"	"Georgia"	"13"	"2006"	"2006"	140747
	"< 1 year"	"0"	"Georgia"	"13"	"2007"	"2007"	142621
	"< 1 year"	"0"	"Georgia"	"13"	"2008"	"2008"	144643
	"< 1 year"	"0"	"Georgia"	"13"	"2009"	"2009"	146731
	"< 1 year"	"0"	"Georgia"	"13"	"2010"	"2010"	148798
	"< 1 year"	"0"	"Hawaii"	"15"	"2004"	"2004"	19902
	"< 1 year"	"0"	"Hawaii"	"15"	"2005"	"2005"	20046
	"< 1 year"	"0"	"Hawaii"	"15"	"2006"	"2006"	20166
	"< 1 year"	"0"	"Hawaii"	"15"	"2007"	"2007"	20254
	"< 1 year"	"0"	"Hawaii"	"15"	"2008"	"2008"	20318
	"< 1 year"	"0"	"Hawaii"	"15"	"2009"	"2009"	20371
	"< 1 year"	"0"	"Hawaii"	"15"	"2010"	"2010"	20382
	"< 1 year"	"0"	"Idaho"	"16"	"2004"	"2004"	21009
	"< 1 year"	"0"	"Idaho"	"16"	"2005"	"2005"	21477
	"< 1 year"	"0"	"Idaho"	"16"	"2006"	"2006"	21892
	"< 1 year"	"0"	"Idaho"	"16"	"2007"	"2007"	22252
	"< 1 year"	"0"	"Idaho"	"16"	"2008"	"2008"	22589
	"< 1 year"	"0"	"Idaho"	"16"	"2009"	"2009"	22896
	"< 1 year"	"0"	"Idaho"	"16"	"2010"	"2010"	23158
	"< 1 year"	"0"	"Illinois"	"17"	"2004"	"2004"	183731
	"< 1 year"	"0"	"Illinois"	"17"	"2005"	"2005"	184365
	"< 1 year"	"0"	"Illinois"	"17"	"2006"	"2006"	185082
	"< 1 year"	"0"	"Illinois"	"17"	"2007"	"2007"	185868
	"< 1 year"	"0"	"Illinois"	"17"	"2008"	"2008"	186819
	"< 1 year"	"0"	"Illinois"	"17"	"2009"	"2009"	187809
	"< 1 year"	"0"	"Illinois"	"17"	"2010"	"2010"	188698
	"< 1 year"	"0"	"Indiana"	"18"	"2004"	"2004"	84949
	"< 1 year"	"0"	"Indiana"	"18"	"2005"	"2005"	85279
	"< 1 year"	"0"	"Indiana"	"18"	"2006"	"2006"	85656
	"< 1 year"	"0"	"Indiana"	"18"	"2007"	"2007"	86089
	"< 1 year"	"0"	"Indiana"	"18"	"2008"	"2008"	86598
	"< 1 year"	"0"	"Indiana"	"18"	"2009"	"2009"	87136
	"< 1 year"	"0"	"Indiana"	"18"	"2010"	"2010"	87674
	"< 1 year"	"0"	"Iowa"	"19"	"2004"	"2004"	37599
	"< 1 year"	"0"	"Iowa"	"19"	"2005"	"2005"	37839
	"< 1 year"	"0"	"Iowa"	"19"	"2006"	"2006"	38036
	"< 1 year"	"0"	"Iowa"	"19"	"2007"	"2007"	38193
	"< 1 year"	"0"	"Iowa"	"19"	"2008"	"2008"	38318
	"< 1 year"	"0"	"Iowa"	"19"	"2009"	"2009"	38393
	"< 1 year"	"0"	"Iowa"	"19"	"2010"	"2010"	38419
	"< 1 year"	"0"	"Kansas"	"20"	"2004"	"2004"	39063
	"< 1 year"	"0"	"Kansas"	"20"	"2005"	"2005"	39309
	"< 1 year"	"0"	"Kansas"	"20"	"2006"	"2006"	39546
	"< 1 year"	"0"	"Kansas"	"20"	"2007"	"2007"	39761
	"< 1 year"	"0"	"Kansas"	"20"	"2008"	"2008"	39983
	"< 1 year"	"0"	"Kansas"	"20"	"2009"	"2009"	40161
	"< 1 year"	"0"	"Kansas"	"20"	"2010"	"2010"	40302
	"< 1 year"	"0"	"Kentucky"	"21"	"2004"	"2004"	55240
	"< 1 year"	"0"	"Kentucky"	"21"	"2005"	"2005"	54981
	"< 1 year"	"0"	"Kentucky"	"21"	"2006"	"2006"	54737
	"< 1 year"	"0"	"Kentucky"	"21"	"2007"	"2007"	54505
	"< 1 year"	"0"	"Kentucky"	"21"	"2008"	"2008"	54315
	"< 1 year"	"0"	"Kentucky"	"21"	"2009"	"2009"	54163
	"< 1 year"	"0"	"Kentucky"	"21"	"2010"	"2010"	54019
	"< 1 year"	"0"	"Louisiana"	"22"	"2004"	"2004"	69205
	"< 1 year"	"0"	"Louisiana"	"22"	"2005"	"2005"	68939
	"< 1 year"	"0"	"Louisiana"	"22"	"2006"	"2006"	68642
	"< 1 year"	"0"	"Louisiana"	"22"	"2007"	"2007"	68320
	"< 1 year"	"0"	"Louisiana"	"22"	"2008"	"2008"	68014
	"< 1 year"	"0"	"Louisiana"	"22"	"2009"	"2009"	67658
	"< 1 year"	"0"	"Louisiana"	"22"	"2010"	"2010"	67210
	"< 1 year"	"0"	"Maine"	"23"	"2004"	"2004"	13472
	"< 1 year"	"0"	"Maine"	"23"	"2005"	"2005"	13632
	"< 1 year"	"0"	"Maine"	"23"	"2006"	"2006"	13795
	"< 1 year"	"0"	"Maine"	"23"	"2007"	"2007"	13958
	"< 1 year"	"0"	"Maine"	"23"	"2008"	"2008"	14138
	"< 1 year"	"0"	"Maine"	"23"	"2009"	"2009"	14299
	"< 1 year"	"0"	"Maine"	"23"	"2010"	"2010"	14442
	"< 1 year"	"0"	"Maryland"	"24"	"2004"	"2004"	75708
	"< 1 year"	"0"	"Maryland"	"24"	"2005"	"2005"	76876
	"< 1 year"	"0"	"Maryland"	"24"	"2006"	"2006"	78199
