State,State Code,Year,Year Code,Births
Alabama,1,1995,1995,60329
Alabama,1,1996,1996,60488
Alabama,1,1997,1997,60914
Alabama,1,1998,1998,62074
Alabama,1,1999,1999,62122
Alabama,1,2000,2000,63299
Alabama,1,2001,2001,60454
Alabama,1,2002,2002,58967
Alaska,2,1995,1995,10244
Alaska,2,1996,1996,10037
Alaska,2,1997,1997,9947
Alaska,2,1998,1998,9926
Alaska,2,1999,1999,9950
Alaska,2,2000,2000,9974
Alaska,2,2001,2001,10003
Alaska,2,2002,2002,9938
Arizona,4,1995,1995,72463
Arizona,4,1996,1996,75322
Arizona,4,1997,1997,75699
Arizona,4,1998,1998,78243
Arizona,4,1999,1999,81145
Arizona,4,2000,2000,85273
Arizona,4,2001,2001,85597
Arizona,4,2002,2002,87837
Arkansas,5,1995,1995,35175
Arkansas,5,1996,1996,36371
Arkansas,5,1997,1997,36478
Arkansas,5,1998,1998,36865
Arkansas,5,1999,1999,36729
Arkansas,5,2000,2000,37783
Arkansas,5,2001,2001,37010
Arkansas,5,2002,2002,37437
California,6,1995,1995,552045
California,6,1996,1996,539433
California,6,1997,1997,524840
California,6,1998,1998,521661
California,6,1999,1999,518508
California,6,2000,2000,531959
California,6,2001,2001,527759
California,6,2002,2002,529357
Colorado,8,1995,1995,54332
Colorado,8,1996,1996,55807
Colorado,8,1997,1997,56533
Colorado,8,1998,1998,59577
Colorado,8,1999,1999,62167
Colorado,8,2000,2000,65438
Colorado,8,2001,2001,67007
Colorado,8,2002,2002,68418
Connecticut,9,1995,1995,44334
Connecticut,9,1996,1996,44469
Connecticut,9,1997,1997,43109
Connecticut,9,1998,1998,43820
Connecticut,9,1999,1999,43310
Connecticut,9,2000,2000,43026
Connecticut,9,2001,2001,42648
Connecticut,9,2002,2002,42001
Delaware,10,1995,1995,10266
Delaware,10,1996,1996,10155
Delaware,10,1997,1997,10253
Delaware,10,1998,1998,10578
Delaware,10,1999,1999,10676
Delaware,10,2000,2000,11051
Delaware,10,2001,2001,10749
Delaware,10,2002,2002,11090
District of Columbia,11,1995,1995,9014
District of Columbia,11,1996,1996,8390
District of Columbia,11,1997,1997,7927
District of Columbia,11,1998,1998,7686
District of Columbia,11,1999,1999,7522
District of Columbia,11,2000,2000,7666
District of Columbia,11,2001,2001,7625
District of Columbia,11,2002,2002,7498
Florida,12,1995,1995,188723
Florida,12,1996,1996,189392
Florida,12,1997,1997,192383
Florida,12,1998,1998,195637
Florida,12,1999,1999,197023
Florida,12,2000,2000,204125
Florida,12,2001,2001,205793
Florida,12,2002,2002,205579
Georgia,13,1995,1995,112282
Georgia,13,1996,1996,114043
