"state","date","season","total_specimens","percap_a","percap_b"
"Alabama",2010-10-16,2010,54,0,0
"Alabama",2010-10-23,2010,46,0,0
"Alabama",2010-10-30,2010,55,0,0.0217564883287318
"Alabama",2010-11-06,2010,64,0.0435129766574637,0.0652694649861955
"Alabama",2010-11-13,2010,69,0.0870259533149274,0.152295418301123
"Alabama",2010-11-20,2010,107,0.0435129766574637,0.23932137161605
"Alabama",2010-11-27,2010,97,0.0217564883287318,0.348103813259709
"Alabama",2010-12-04,2010,97,0.108782441643659,0.261077859944782
"Alabama",2010-12-11,2010,89,0.0652694649861955,0.282834348273514
"Alabama",2010-12-18,2010,106,0.0435129766574637,0.783233579834346
"Alabama",2010-12-25,2010,130,0.130538929972391,1.08782441643659
"Alabama",2011-01-01,2010,106,0.261077859944782,0.783233579834346
"Alabama",2011-01-08,2010,152,0.23932137161605,1.0225549514504
"Alabama",2011-01-15,2010,153,0.303699493689558,0.889405660090849
"Alabama",2011-01-22,2010,124,0.238621030756082,0.846020018135198
"Alabama",2011-01-29,2010,113,0.520627703467814,0.455549240534338
"Alabama",2011-02-05,2010,162,0.520627703467814,0.976176944002152
"Alabama",2011-02-12,2010,173,0.802634376179547,0.802634376179547
"Alabama",2011-02-19,2010,148,0.824327197157373,0.34708513564521
"Alabama",2011-02-26,2010,206,1.08464104889128,0.433856419556512
"Alabama",2011-03-05,2010,151,0.759248734223896,0.19523538880043
"Alabama",2011-03-12,2010,122,0.650784629334768,0.0650784629334768
"Alabama",2011-03-19,2010,113,0.520627703467814,0.0867712839113024
"Alabama",2011-03-26,2010,120,0.390470777600861,0.0650784629334768
"Alabama",2011-04-02,2010,80,0.216928209778256,0.0433856419556512
"Alabama",2011-04-09,2010,77,0.130156925866954,0
"Alabama",2011-04-16,2010,50,0.108464104889128,0.0216928209778256
"Alabama",2011-04-23,2010,45,0,0
"Alabama",2011-04-30,2010,56,0,0
"Alabama",2011-05-07,2010,40,0,0
"Alabama",2011-05-14,2010,35,0,0
"Alabama",2011-05-21,2010,45,0.0216928209778256,0
"Alabama",2011-05-28,2010,55,0,0
"Alabama",2011-06-04,2010,45,0,0
"Alabama",2011-06-11,2010,33,0,0
"Alabama",2011-06-18,2010,33,0,0
"Alabama",2011-06-25,2010,26,0,0
"Alabama",2011-07-02,2010,24,0,0
"Alabama",2011-07-09,2010,33,0,0
"Alabama",2011-07-16,2010,24,0,0
"Alabama",2011-07-23,2010,32,0,0
"Alabama",2011-07-30,2010,41,0,0
"Alabama",2011-08-06,2010,22,0,0
"Alabama",2011-08-13,2010,25,0,0
"Alabama",2011-08-20,2010,25,0,0
"Alabama",2011-08-27,2010,31,0,0
"Alabama",2011-09-03,2010,35,0,0
"Alabama",2011-09-10,2010,30,0,0
"Alabama",2011-09-17,2010,33,0,0
"Alabama",2011-09-24,2010,27,0,0
"Alabama",2011-10-01,2010,18,0,0
"Alabama",2011-10-08,2010,33,0,0
"Alabama",2011-10-15,2011,51,0,0
"Alabama",2011-10-22,2011,54,0,0
"Alabama",2011-10-29,2011,34,0,0
"Alabama",2011-11-05,2011,59,0,0
"Alabama",2011-11-12,2011,46,0,0
"Alabama",2011-11-19,2011,44,0,0
"Alabama",2011-11-26,2011,52,0,0
"Alabama",2011-12-03,2011,39,0,0
"Alabama",2011-12-10,2011,52,0,0
"Alabama",2011-12-17,2011,48,0.0216928209778256,0
"Alabama",2011-12-24,2011,62,0,0
"Alabama",2011-12-31,2011,57,0,0
"Alabama",2012-01-07,2011,51,0.0216928209778256,0
"Alabama",2012-01-14,2011,65,0.0216296280915227,0
"Alabama",2012-01-21,2011,57,0,0
"Alabama",2012-01-28,2011,70,0.0432592561830455,0
"Alabama",2012-02-04,2011,68,0.0648888842745682,0
"Alabama",2012-02-11,2011,67,0.23792590900675,0.0216296280915227
"Alabama",2012-02-18,2011,72,0.086518512366091,0
"Alabama",2012-02-25,2011,82,0.216296280915227,0
"Alabama",2012-03-03,2011,88,0.302814793281318,0.0216296280915227
"Alabama",2012-03-10,2011,86,0.302814793281318,0.0216296280915227
"Alabama",2012-03-17,2011,68,0.216296280915227,0
"Alabama",2012-03-24,2011,83,0.281185165189796,0.0216296280915227
"Alabama",2012-03-31,2011,80,0.410962933738932,0
"Alabama",2012-04-07,2011,65,0.108148140457614,0
"Alabama",2012-04-14,2011,63,0.129777768549136,0
"Alabama",2012-04-21,2011,58,0.0432592561830455,0
"Alabama",2012-04-28,2011,65,0.0216296280915227,0
"Alabama",2012-05-05,2011,50,0.0432592561830455,0
"Alabama",2012-05-12,2011,54,0.129777768549136,0
"Alabama",2012-05-19,2011,55,0.0648888842745682,0
"Alabama",2012-05-26,2011,55,0.108148140457614,0
"Alabama",2012-06-02,2011,45,0.0216296280915227,0
"Alabama",2012-06-09,2011,37,0,0
"Alabama",2012-06-16,2011,49,0.0216296280915227,0
"Alabama",2012-06-23,2011,35,0,0
"Alabama",2012-06-30,2011,40,0,0
"Alabama",2012-07-07,2011,42,0,0
"Alabama",2012-07-14,2011,17,0,0
"Alabama",2012-07-21,2011,32,0,0
"Alabama",2012-07-28,2011,35,0,0
"Alabama",2012-08-04,2011,26,0,0
"Alabama",2012-08-11,2011,34,0,0
"Alabama",2012-08-18,2011,39,0,0
"Alabama",2012-08-25,2011,33,0,0
"Alabama",2012-09-01,2011,51,0,0
"Alabama",2012-09-08,2011,44,0,0
"Alabama",2012-09-15,2011,45,0.0216296280915227,0
"Alabama",2012-09-22,2011,56,0,0.0216296280915227
"Alabama",2012-09-29,2011,54,0.0216296280915227,0
"Alabama",2012-10-06,2011,53,0,0.0432592561830455
"Alabama",2012-10-13,2012,59,0.0216296280915227,0
"Alabama",2012-10-20,2012,41,0.0432592561830455,0
"Alabama",2012-10-27,2012,62,0.0432592561830455,0
"Alabama",2012-11-03,2012,55,0.0648888842745682,0
