"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,,,
Isolate_Id,HA Segment_Id,NA Segment_Id,Location,Collection_Date,Isolate_Name,Originating_Lab,Submitting_Lab,Authors
EPI_ISL_232268,EPI826025,EPI826024,North America / United States / Delaware,5/31/2016,B/Delaware/37/2016,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_217639,EPI738567,EPI738566,North America / United States / Washington,1/27/2016,B/Washington/18/2016,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_225260,EPI777256,EPI777255,North America / United States / North Carolina,4/19/2016,B/North Carolina/18/2016,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_224308,EPI773093,EPI773092,North America / United States / Rhode Island,2/4/2016,B/Rhode Island/01/2016,Rhode Island Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_223730,EPI769784,EPI769783,North America / United States / Indiana,5/8/2016,B/Indiana/22/2016,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_222941,EPI766081,EPI766080,North America / United States / Kansas,4/4/2016,B/Kansas/10/2016,Kansas Department of Health and Environment,Centers for Disease Control and Prevention,
EPI_ISL_238883,EPI863771,EPI863770,North America / United States / Washington,10/12/2016,B/Washington/92/2016,Seattle & King County Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_217815,EPI739909,EPI739908,North America / United States / Texas,2/20/2016,B/Texas/36/2016,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_241665,EPI880319,EPI880318,North America / United States / Michigan,12/20/2016,B/Michigan/60/2016,Michigan Department of Community Health,Centers for Disease Control and Prevention,
EPI_ISL_247611,EPI908571,EPI908570,North America / United States / Michigan,2/17/2016,B/Michigan/18/2016,Michigan Department of Community Health,Centers for Disease Control and Prevention,
EPI_ISL_222326,EPI763470,EPI763469,North America / United States / New York,3/10/2016,B/New York/21/2016,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_217682,EPI738884,EPI738883,North America / United States / Delaware,2/7/2016,B/Delaware/03/2016,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_222333,EPI763519,EPI763518,North America / United States / Kentucky,3/9/2016,B/Kentucky/16/2016,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_222936,EPI766041,EPI766040,North America / United States / Nebraska,4/8/2016,B/Nebraska/08/2016,Nebraska Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_217696,EPI738991,EPI738990,North America / United States / Texas,2/14/2016,B/Texas/20/2016,Baylor College of Medicine,Centers for Disease Control and Prevention,
EPI_ISL_243858,EPI892348,EPI892347,North America / United States / Minnesota,11/11/2016,B/Minnesota/26/2016,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_222921,EPI765928,EPI765927,North America / United States / Iowa,3/7/2016,B/Iowa/05/2016,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_223050,EPI766899,EPI766898,North America / United States / Mississippi,4/26/2016,B/Mississippi/15/2016,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_229347,EPI807669,EPI807668,North America / United States / Indiana,3/1/2016,B/Indiana/08/2016,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_225173,EPI776569,EPI776568,North America / United States / Texas,3/15/2016,B/Texas/65/2016,Baylor College of Medicine,Centers for Disease Control and Prevention,
EPI_ISL_225167,EPI776521,EPI776520,North America / United States / Washington,3/15/2016,B/Washington/59/2016,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_217766,EPI739532,EPI739531,North America / United States / New Hampshire,2/10/2016,B/New Hampshire/05/2016,New Hampshire Public Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_225281,EPI777422,EPI777421,North America / United States / Oregon,4/12/2016,B/Oregon/30/2016,Oregon Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_218681,EPI745178,EPI745177,North America / United States / Maine,2/29/2016,B/Maine/05/2016,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_212822,EPI714127,EPI714126,North America / United States / Washington,1/4/2016,B/Washington/01/2016,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_240482,EPI872802,EPI872801,North America / United States / Pennsylvania,11/21/2016,B/Pennsylvania/63/2016,Pennsylvania Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_225244,EPI777132,EPI777131,North America / United States / New Hampshire,4/26/2016,B/New Hampshire/23/2016,New Hampshire Public Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_225150,EPI776385,EPI776384,North America / United States / Georgia,2/24/2016,B/Georgia/07/2016,Georgia Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_217791,EPI739720,EPI739719,North America / United States / California,2/27/2016,B/California/46/2016,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_229363,EPI807790,EPI807789,North America / United States / Minnesota,3/26/2016,B/Minnesota/14/2016,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_255228,EPI954941,EPI954940,North America / United States / Connecticut,12/20/2016,B/Connecticut/33/2016,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_238961,EPI864119,EPI864118,North America / United States / Arizona,9/30/2016,B/Arizona/35/2016,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_220769,EPI755186,EPI755185,North America / United States / Colorado,3/10/2016,B/Colorado/17/2016,Colorado Department of Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_222990,EPI766461,EPI766460,North America / United States / South Dakota,3/20/2016,B/South Dakota/08/2016,South Dakota Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_217534,EPI737764,EPI737763,North America / United States / Missouri,2/22/2016,B/Missouri/02/2016,Missouri Department. of Health & Senior Services,Centers for Disease Control and Prevention,
EPI_ISL_217624,EPI738449,EPI738448,North America / United States / Florida,1/19/2016,B/Florida/11/2016,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_217854,EPI740213,EPI740212,North America / United States / Michigan,2/16/2016,B/Michigan/09/2016,University of Michigan SPH EPID,Centers for Disease Control and Prevention,
EPI_ISL_217742,EPI739342,EPI739341,North America / United States / Florida,2/16/2016,B/Florida/25/2016,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_217798,EPI739776,EPI739775,North America / United States / California,2/21/2016,B/California/53/2016,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_243882,EPI892538,EPI892537,North America / United States / Illinois,12/28/2016,B/Illinois/25/2016,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_241660,EPI880279,EPI880278,North America / United States / Mississippi,12/13/2016,B/Mississippi/23/2016,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_238997,EPI864403,EPI864402,North America / United States / New York,10/7/2016,B/New York/52/2016,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_223020,EPI766691,EPI766690,North America / United States / Iowa,3/29/2016,B/Iowa/16/2016,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_217793,EPI739736,EPI739735,North America / United States / California,1/24/2016,B/California/48/2016,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_217531,EPI737740,EPI737739,North America / United States / New York,2/1/2016,B/New York/03/2016,New York City Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_240876,EPI874709,EPI874708,North America / United States / Minnesota,12/1/2016,B/Minnesota/27/2016,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_220666,EPI754397,EPI754396,North America / United States / Oregon,2/24/2016,B/Oregon/20/2016,Oregon Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_229352,EPI807705,EPI807704,North America / United States / Oregon,3/12/2016,B/Oregon/26/2016,Oregon Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_229343,EPI807638,EPI807637,North America / United States / Wisconsin,3/8/2016,B/Wisconsin/19/2016,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_229426,EPI808270,EPI808269,North America / United States / Delaware,5/22/2016,B/Delaware/34/2016,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_232252,EPI825897,EPI825896,North America / United States / Texas,2/13/2016,B/Texas/136/2016,Baylor Scott and White Health,Centers for Disease Control and Prevention,
EPI_ISL_247637,EPI908768,EPI908767,North America / United States / Iowa,12/22/2016,B/Iowa/30/2016,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_217762,EPI739500,EPI739499,North America / United States / North Dakota,2/15/2016,B/North Dakota/04/2016,North Dakota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_222312,EPI763363,EPI763362,North America / United States / New Hampshire,2/20/2016,B/New Hampshire/06/2016,New Hampshire Public Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_217867,EPI740311,EPI740310,North America / United States / Pennsylvania,2/25/2016,B/Pennsylvania/14/2016,UPMC-CLB Dept of Microbiology,Centers for Disease Control and Prevention,
